NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210051529359,2021,4,F,1,1,1,1,2,1,,0,,,,,,,,2906808,Cansanção,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,G,D,D,5.0,I,A,C,E,B,B,B,B,B,A,B,A,B,E,B,B,E,A,D,B
210053290126,2021,9,F,1,2,1,1,5,1,,0,,,,,,,,2913606,Ilhéus,29,BA,1,1,1,1,910.0,879.0,889.0,900.0,490.9,603.9,561.8,553.6,BCECCDCEDDCABBDACBDAADAEDACDCBEBECEEADAABEEAD,BABCDAABCECBABBADBEABDEACBECAEAACAECBAAACDADB,99999CAEEABACDEEBCEDABBDCABBDAAEACABBCBEDAAACCEDAA,BDDACDDCBBABCEBCDEDBBDAECADEEBDDCACBDBECADBDC,1,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,160.0,200.0,180.0,180.0,200.0,920.0,H,C,F,B,3.0,B,A,B,D,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210052855610,2021,16,F,1,2,1,1,15,1,,0,,,,,,,,2927408,Salvador,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,H,E,D,F,4.0,F,A,C,C,A,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
210051622576,2021,3,F,1,1,1,2,0,2,1.0,0,,,,,,,,2919801,Macaúbas,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,393.5,378.9,354.6,465.0,DACDBCBABCBECDACBAECCAEABBDCBEBDABEBEDACBCBAE,BEEDABCEDCEAADBDBCDBAAECDDBACADBACAECADCECBDD,99999EACACADDABDCECEBBBAEBABCBBCDADABDCBEBAADACACC,BDECEDCBABDCEBAADEECDDEECCBABDCEBDBACBDAEBDCE,1,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,100.0,120.0,80.0,120.0,0.0,420.0,B,D,D,D,3.0,E,A,C,D,B,B,B,B,A,A,B,A,A,B,A,B,D,A,B,B
210051142382,2021,3,F,1,1,1,1,1,1,,0,,,,,,,,2914604,Irecê,29,BA,1,1,1,1,912.0,882.0,891.0,901.0,399.2,439.5,488.3,542.4,DDECBADDEDEBECBDADBBDACEBCBCEEDBDEECBABDDAE*D,DDABDEDBCADEEEDEDABCDECDEECDDBACADBDCEEDECBAE,ABDAB99999AEDEECBDAEDEEABACCCDBDCDEDDECACBDBDBBDEE,EBCAEDBECDDEACEAEDBBECEBDEDBCBBADBECDBCBDEDCC,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,120.0,120.0,100.0,120.0,80.0,540.0,D,F,B,C,4.0,C,A,B,D,A,B,B,A,A,A,B,A,A,B,A,A,D,A,B,B
210052631800,2021,3,F,1,3,1,1,1,1,,0,,,,,,,,2925303,Porto Seguro,29,BA,1,1,1,1,911.0,880.0,890.0,902.0,403.6,433.6,442.3,382.3,CCECCEDEBEEABEEACBBCEBAEDDAEEADACCEDDCEEDBCCE,DCAADBEECEEBACEAABAAACAEDBCADEDEBEACEAAABBAEA,99999AEDBCCDBDACDCCBABEEDDAEAAEDEEBACCECBBBBDEDDBA,DADDBACCEDCCCDBECCDCBBADCCABBEAECDBCBDDEEDDAB,1,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,120.0,120.0,120.0,120.0,140.0,620.0,C,E,A,F,3.0,D,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B
210054461652,2021,14,F,1,3,1,1,15,1,,0,,,,,,,,2909802,Cruz das Almas,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,H,F,D,D,8.0,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,B,B,B
210051085130,2021,3,M,1,3,1,3,0,1,,1,,,,,,,,2932903,Valença,29,BA,1,1,1,1,910.0,879.0,889.0,900.0,477.8,599.0,548.9,746.0,AEBBCDCEDABECAADBCAEACDDABEECAEEEBCCDEABBADCC,BACCEAEACCADEBAAEDDABCEBCAECBDCEAACDBABAAEABA,99999CAAAABDDDEADDECBCBBDEACCEDDAABAEABCDAEACBEDDA,DACEBDDEAEACECBDBDAEAAADCDACEBCBACDDCDEBACECB,1,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,140.0,180.0,180.0,200.0,200.0,900.0,C,B,A,A,3.0,B,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,B
210052399147,2021,11,F,1,3,1,1,9,1,,0,,,,,,,,2910800,Feira de Santana,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,C,B,4.0,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,A,B
210051870968,2021,1,F,1,1,1,3,0,1,,1,,,,,,,,2910727,Eunápolis,29,BA,1,1,1,1,909.0,881.0,892.0,899.0,494.7,476.1,462.0,636.3,BBDDAEAEDDCDABAAECCABECAEDEDEBCBECBBCCADBBACE,ACACAAECBCBAEABEEBABEBABEDADBECBAADEADECACABE,BACEE99999ADBBCDDDCDBBAACECAADDBCCADEDBACEDDEAABBC,DADECABDCEBCCEEADABAABECDBACBDCDBBBCACCABDBDB,0,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,140.0,200.0,160.0,180.0,160.0,840.0,F,F,C,D,3.0,C,A,B,C,B,A,C,B,A,A,B,A,A,B,B,A,D,A,A,B
