ncm@nves@nves_nm@pais_origem@fob_kg_minimo_dolar_truncado@fob_kg_maximo_dolar_truncado@fob_kg_media_dolar_truncado@fob_kg_mediana_dolar_truncado@fob_kg_desvio_padrao_dolar_truncado@fob_kg_quartil1_truncado@fob_kg_quartil3_truncado@fob_ume_minimo_dolar_truncado@fob_ume_maximo_dolar_truncado@fob_ume_media_dolar_truncado@fob_ume_mediana_dolar_truncado@fob_ume_desvio_padrao_dolar_truncado@fob_ume_quartil1_truncado@fob_ume_quartil3_truncado@vmle_soma_dolar_truncado@peso_liq_soma_truncado@qtd_ume_soma_truncado@frete_minimo_dolar_truncado@frete_media_dolar_truncado@frete_mediana_dolar_truncado@frete_maximo_dolar_truncado@frete_desvio_padrao_dolar_truncado@seguro_minimo_dolar_truncado@seguro_media_dolar_truncado@seguro_mediana_dolar_truncado@seguro_maximo_dolar_truncado@seguro_desvio_padrao_dolar_truncado@ume
3021300@S/NVE@S/NVE@CHILE@6.7@6.9@6.78@6.79@0.0415@6.74@6.8@6.7@6.9@6.78@6.79@0.0415@6.74@6.8@3900000.0@576000.0@576000.0@2500.0@3170.0@3110.0@4680.0@345.0@0.0@53.1@0.0@300.0@95.8@QUILOGRAMA LIQUIDO
3021400@S/NVE@S/NVE@CHILE@6.19@8.13@7.62@7.69@0.299@7.53@7.79@6.19@8.13@7.62@7.69@0.299@7.53@7.79@64500000.0@8470000.0@8470000.0@423.0@3800.0@3250.0@9000.0@1480.0@0.0@54.1@0.0@309.0@89.4@QUILOGRAMA LIQUIDO
3031200@S/NVE@S/NVE@CHILE@4.38@7.2@6.42@6.8@0.962@6.77@6.8@4.38@7.2@6.42@6.8@0.962@6.77@6.8@3190000.0@497000.0@497000.0@2000.0@3040.0@3000.0@4290.0@450.0@0.0@72.2@0.0@314.0@116.0@QUILOGRAMA LIQUIDO
3031300@S/NVE@S/NVE@CHILE@4.52@7.19@5.93@5.99@0.775@5.49@6.19@4.52@7.19@5.93@5.99@0.775@5.49@6.19@487000.0@81000.0@81000.0@23.4@1180.0@864.0@3100.0@1170.0@0.0@21.7@0.0@160.0@52.4@QUILOGRAMA LIQUIDO
3035300@S/NVE@S/NVE@MARROCOS@0.734@1.24@1.11@1.11@0.0617@1.1@1.13@0.734@1.24@1.11@1.11@0.0617@1.1@1.13@9810000.0@8860000.0@8860000.0@2940.0@7850.0@6780.0@13700.0@2760.0@0.0@19.6@5.7@99.3@27.3@QUILOGRAMA LIQUIDO
3036300@S/NVE@S/NVE@PORTUGAL@6.33@15.5@12.9@12.9@1.95@11.6@14.3@6.33@15.5@12.9@12.9@1.95@11.6@14.3@3530000.0@273000.0@273000.0@202.0@1480.0@1320.0@3460.0@738.0@0.0@59.2@0.0@356.0@108.0@QUILOGRAMA LIQUIDO
3036500@S/NVE@S/NVE@PORTUGAL@3.55@8.15@5.61@5.48@1.38@5.09@6.4@3.55@8.15@5.61@5.48@1.38@5.09@6.4@430000.0@74800.0@74800.0@250.0@817.0@673.0@2340.0@563.0@0.0@1.37@0.0@17.8@4.94@QUILOGRAMA LIQUIDO
3038112@S/NVE@S/NVE@FORMOSA (TAIWAN)@1.6@1.82@1.72@1.73@0.0512@1.69@1.75@1.6@1.82@1.72@1.73@0.0512@1.69@1.75@990000.0@575000.0@575000.0@5190.0@7690.0@7000.0@17000.0@3170.0@0.0@12.4@0.0@124.0@38.3@QUILOGRAMA LIQUIDO
3038114@S/NVE@S/NVE@PORTUGAL@2.25@2.5@2.38@2.38@0.0908@2.31@2.45@2.25@2.5@2.38@2.38@0.0908@2.31@2.45@423000.0@177000.0@177000.0@1930.0@3330.0@3530.0@4030.0@653.0@0.0@98.8@87.0@212.0@106.0@QUILOGRAMA LIQUIDO
3038951@S/NVE@S/NVE@URUGUAI@1.55@1.6@1.56@1.55@0.025@1.55@1.56@1.55@1.6@1.56@1.55@0.025@1.55@1.56@147000.0@94300.0@94300.0@800.0@931.0@850.0@1220.0@202.0@0.0@0.0@0.0@0.0@0.0@QUILOGRAMA LIQUIDO
3038990@S/NVE@S/NVE@FORMOSA (TAIWAN)@3.84@4.31@4.04@4.0@0.178@3.95@4.1@3.84@4.31@4.04@4.0@0.178@3.95@4.1@533000.0@131000.0@131000.0@5550.0@7010.0@7000.0@8500.0@1040.0@0.0@36.9@0.0@184.0@82.6@QUILOGRAMA LIQUIDO
3044100@S/NVE@S/NVE@CHILE@10.5@13.6@11.2@10.7@1.02@10.7@11.0@10.5@13.6@11.2@10.7@1.02@10.7@11.0@492000.0@43800.0@43800.0@204.0@486.0@204.0@1620.0@476.0@4.82@31.3@26.3@108.0@23.6@QUILOGRAMA LIQUIDO
3046290@S/NVE@S/NVE@VIETNA@2.55@4.1@3.36@3.38@0.286@3.29@3.55@2.55@4.1@3.36@3.38@0.286@3.29@3.55@8020000.0@2370000.0@2370000.0@3010.0@6390.0@6250.0@10100.0@1700.0@0.0@20.7@0.0@221.0@56.4@QUILOGRAMA LIQUIDO
3047300@S/NVE@S/NVE@ISLANDIA@5.18@6.25@5.69@5.74@0.34@5.37@5.84@5.18@6.25@5.69@5.74@0.34@5.37@5.84@1080000.0@191000.0@191000.0@1390.0@3230.0@3040.0@7570.0@1780.0@0.0@83.5@73.3@246.0@76.7@QUILOGRAMA LIQUIDO
3047400@S/NVE@S/NVE@ARGENTINA@2.56@5.15@3.74@3.73@0.335@3.6@3.85@2.56@5.15@3.74@3.73@0.335@3.6@3.85@9090000.0@2430000.0@2430000.0@166.0@1720.0@1680.0@4500.0@713.0@0.0@64.7@30.0@480.0@102.0@QUILOGRAMA LIQUIDO
3047500@S/NVE@S/NVE@CHINA, REPUBLICA POPULAR@3.53@4.91@4.21@4.1@0.471@3.97@4.63@3.53@4.91@4.21@4.1@0.471@3.97@4.63@1150000.0@276000.0@276000.0@2640.0@6060.0@6470.0@9400.0@1980.0@0.0@43.7@49.0@95.9@31.7@QUILOGRAMA LIQUIDO
